Author Name,Author Affiliation,Country,Article No.,h-index
Georgios Ntakakis,Aristotle University of Thessaloniki,Greece,57,
Alkinoos Athanassiou,Aristotle University of Thessaloniki,Greece,57,
Emmanouil Babatsikos,Aristotle University of Thessaloniki,Greece,57,
Panagiotis D. Bamidis,Aristotle University of Thessaloniki,Greece,57,
Emilia Biffi,"Scientific Institute, IRCCS Eugenio Medea",it,58,19
Chiara Gagliardi,"Scientific Institute, IRCCS Eugenio Medea",it,58,
Cristina Maghini,"Scientific Institute, IRCCS Eugenio Medea",it,58,
Chiara Genova,"Scientific Institute, IRCCS Eugenio Medea",it,58,
Daniele Panzeri,"Scientific Institute, IRCCS Eugenio Medea",it,58,
Davide Felice Redaelli,"Scientific Institute, IRCCS Eugenio Medea",it,58,
Anna Carla Turconi,"Scientific Institute, IRCCS Eugenio Medea",it,58,
Kuo-Ting Huang,Ball State University,us,59,13
Christopher Ball,Michigan State University,us,59,12
Jessica Francis,University of Rochester,us,59,10
Rabindra Ratan,Michigan State University,us,59,26
Josephine Boumis,Michigan State University,us,59,
Joseph Fordham,Michigan State University,us,59,
Lei Chen,Xi’an Jiaotong-Liverpool University,cn,60,
Hai-Ning Liang,Xi’an Jiaotong-Liverpool University,cn,60,26
Feiyu Lu,Virginia Tech,us,60,9
Jialin Wang,Xi’an Jiaotong-Liverpool University,cn,60,
Wenjun Chen,Zhejiang University,cn,60,3
Yong Yue,Xi’an Jiaotong-Liverpool University,cn,60,27
Nisha Agasthya,Kansas University School of Medicine,us,61,2
Scott Penfil,Herman and Walter Samuelson Children’s Hospital at Sinai,us,61,
Nicholas Slamon,Nemours/Alfred I. duPont Hospital for Children,us,61,
Min Zhang,Beihua University,cn,62,
Yu Xie,Jiangnan University,cn,63,
Yang Liu,University College London,gb,63,
Fengrui Zhang,University of Cambridge,gb,63,
Ping Zhou,Hunan University of Humanities,cn,63,
Mian Usman Sattar,Beaconhouse National University,pk,64,6
Sellappan Palaniappan,my University of Science and Technology,my,64,24
Asiah Lokman,my University of Science and Technology,my,64,
Nauman Shah,University of Management and Technology,pk,64,
Usman Khalid,University of Management and Technology,pk,64,
Raza Hasan,my University of Science and Technology,my,64,
Chen-Wei Chang,Fudan University,cn,65,7
Shih-Ching Yeh,Fudan University,cn,65,27
Mengtong Li,Fudan University,cn,65,4
Eason Yao,Iforeal Intelligent Technology,cn,65,
Inmaculada Remolar,Universitat Jaume I,es,66,11
Cristina Rebollo,Universitat Jaume I,es,66,
Jon A. Fernández-Moyano,Universitat Jaume I,es,66,
Maÿlis Merveilleux Du Vignaux,HEC Montréal,ca,67,
Pierre-Majorique Léger,HEC Montréal,ca,67,32
Youness Salame,HEC Montréal,ca,67,
Sylvain Sénécal,HEC Montréal,ca,67,
Patrick Charland,Université du Québec,ca,67,14
Emmanuel Durand,Society for Arts and Technology,ca,67,
Nicolas Bouillot,Society for Arts and Technology,ca,67,
